y,X,coefficient,Estimate,Std. Error,2.5 %,97.5 %,t value,p value,s value,sig_PCER,sig_FDR,sig_FWER,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,-0.975385938475704,0.195772805652566,-1.36530127320721,-0.5854706037442,-4.98223405045694,3.84152732083626e-06,17.9898885552238,*,*,*,1.75480314542729e-05,!,0,1.43003605285718e-08,!
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1,-0.930531602521343,0.185581768206231,-1.30014972710712,-0.560913477935569,-5.01413264630217,3.39226401468483e-06,18.1693201123199,*,*,*,0.00329626275972081,!,0,0.0306216670678425,!
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,0.0146335125864032,0.183483888233559,-0.350729586341622,0.379996611514428,0.0797536651707315,0.936640091935539,0.0944333024208917,,,,0.832958537660524,,0,0.465590801545418,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,-0.106097767034303,0.217057339560364,-0.538314148485186,0.32611861441658,-0.488800642490126,0.626372189232567,0.674907936132864,,,,0.0550094562038914,,0,0.759104925222653,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,0.137322412147743,0.208543310183425,-0.277940370883845,0.552585195179332,0.658483899708702,0.512191394760195,0.965245080220392,,,,0.557872135113562,,0,0.680453364784451,
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,0.282021440104447,0.227149472326332,-0.170385942223147,0.73442882243204,1.24156766562629,0.218214312044502,2.19618236793485,,,,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,0.143981284847651,0.229639163980743,-0.313288709782316,0.601251279477619,0.626989239778479,0.532520990247606,0.909089702076021,,,,0.829707754041856,,0,1.4185588696213e-06,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,-0.324923642600035,0.220048044639569,-0.763095278685196,0.113247993485126,-1.47660318060198,0.143860245687138,2.79726012180705,,,,0.313933426662048,,0,0.0105311481283416,!
stroop_body,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,-0.333598827694815,0.222590836378044,-0.77712075080677,0.10992309541714,-1.4987087210016,0.13820327520578,2.85513628909501,,,,0.874867427465807,,0,0.0333051901602477,!
stroop_slova,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,-0.0837041121991675,0.227013410947645,-0.536038207501733,0.368629983103398,-0.368718798813485,0.713390150100753,0.48723679848115,,,,0.0340673865809835,!,0,0.00169426338628467,!
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,-0.160729044585353,0.220564543917113,-0.599929162127138,0.278471072956432,-0.728716600278939,0.468385633396003,1.09423126957387,,,,0.00173476160769921,!,0,0.101991143590624,
stroop_barvy,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,0.110907647375397,0.22412297610566,-0.335667130784527,0.557482425535321,0.494851751937788,0.622170861869728,0.684617264175142,,,,0.568108643182487,,0,0.584139847684819,
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,-0.138072141351933,0.203396914056878,-0.543172203965267,0.267027921261401,-0.67883105302828,0.499306924732679,1.00200117979112,,,,1.75480314542729e-05,!,0,1.43003605285718e-08,!
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F1,-0.123232829610823,0.192809000374416,-0.507245234549516,0.260779575327869,-0.63914459061308,0.524650610315897,0.9305711112838,,,,0.00329626275972081,!,0,0.0306216670678425,!
avlt_1_5,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,-0.447458222065633,0.352773456733596,-1.14991991836276,0.255003474231494,-1.26840104754123,0.20847624523873,2.26204508929272,,,,0.832958537660524,,0,0.465590801545418,
avlt_6,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,-0.23354830348206,0.417323116069123,-1.06454479265188,0.597448185687758,-0.55963423661242,0.577353297699617,0.792473682675726,,,,0.0550094562038914,,0,0.759104925222653,
avlt_8,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,-0.155748635456745,0.400953702912744,-0.954149458728996,0.642652187815505,-0.388445434785371,0.698758389834899,0.517134394712518,,,,0.557872135113562,,0,0.680453364784451,
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,-0.0792263825879578,0.434866247767793,-0.945337577126021,0.786884811950105,-0.182185632926524,0.855922124505575,0.224448554920437,,,,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,-0.225423183895128,0.441513434551705,-1.10458875106923,0.653742383278976,-0.510569251701285,0.611113380857474,0.71048802445744,,,,0.829707754041856,,0,1.4185588696213e-06,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,-0.315590300675156,0.423073165182531,-1.15803660041575,0.526855999065434,-0.745947336411653,0.457970505387494,1.12667340726687,,,,0.313933426662048,,0,0.0105311481283416,!
stroop_body,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,0.721525598086449,0.420385768747948,-0.11611133089891,1.55916252707181,1.7163416360059,0.0902831894955073,3.46939880327787,,,,0.874867427465807,,0,0.0333051901602477,!
stroop_slova,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,0.357248285461049,0.428738257289431,-0.497031340236215,1.21152791115831,0.833254974071231,0.407382383603646,1.2955444995545,,,,0.0340673865809835,!,0,0.00169426338628467,!
tmt_b,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,-0.131566536199195,0.424066207336224,-0.975990235493133,0.712857163094743,-0.310249989089278,0.757209044741974,0.401236450979316,,,,0.00173476160769921,!,0,0.101991143590624,
stroop_barvy,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,0.159154674707653,0.42327937276015,-0.684247886129849,1.00255723554516,0.37600385218355,0.707989843966153,0.498199429727051,,,,0.568108643182487,,0,0.584139847684819,
gpt_phk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,0.537969318113212,0.391478629083407,-0.241727944693452,1.31766658091988,1.37419843165588,0.173419191951515,2.52766452734766,,,,1.75480314542729e-05,!,0,1.43003605285718e-08,!
gpt_lhk,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ1:AHI.F1,0.280458292064834,0.371100040979044,-0.458651494991141,1.01956807912081,0.755748480449969,0.452136056219109,1.14517112291877,,,,0.00329626275972081,!,0,0.0306216670678425,!
