"domain","outcome","predictors","nCON","nPD","F","df1","df2","Pr(>F)","sig.","BF10","normality (p-value)","non-normality","homoscedasticity (p-value)","heteroscedasticity","outliers"
"memory","avlt_r_fn"," ~ 1 + Gender..0.F + Education + AGE",41,43,3.14211814065725,1,80,0.0801014514765673,,0.550258108103218,0.101172763561222,,0.825769790047703,,0
"memory","avlt_r_fn"," ~ 1 + Gender..0.F + Education + AGE * GROUP",41,43,0.797530401388807,2,78,0.454078428096758,,0.0278589274271717,0.0684168982948733,,0.234478480224406,,0
"memory","avlt_r_fn"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",41,43,0.580994422430826,4,74,0.677335980097158,,0.000519363024974356,0.24858341348195,,0.342976341873866,,0
"attention","tmt_a"," ~ 1 + Gender..0.F + Education",41,43,,,,,,,0.00678034901743428,"!",0.82800946382345,,0
"attention","tmt_a"," ~ 1 + Gender..0.F + Education + AGE",41,43,8.08691260096917,1,80,0.00565783026865824,":-)",6.22815222504175,0.00431036944485918,"!",0.80966635446309,,0
"attention","tmt_a"," ~ 1 + Gender..0.F + Education + AGE * GROUP",41,43,2.37884850979948,2,78,0.0993486652604459,,0.143119911478543,0.0361982895175488,"!",0.505111996877017,,0
"attention","tmt_a"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",41,43,1.94035972786463,4,74,0.112636493729717,,0.00934861531973669,0.134132507171776,,0.0969142949181689,,0
"attention","stroop_body"," ~ 1 + Gender..0.F + Education",41,40,,,,,,,0.0732112492543939,,0.0497322589267419,"!",0
"attention","stroop_body"," ~ 1 + Gender..0.F + Education + AGE",41,40,11.6910598507848,1,77,0.0010070174240163,":-)",34.0421383113596,0.0372826941987535,"!",0.478167670325502,,0
"attention","stroop_body"," ~ 1 + Gender..0.F + Education + AGE * GROUP",41,40,0.406129417046137,2,75,0.667680206425857,,0.0190976970315285,0.082972077844705,,0.829608331885434,,0
"attention","stroop_body"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",41,40,2.25898887830723,4,71,0.0712369154126201,,0.0195035995931926,0.376102834370318,,0.720355140402974,,0
"attention","stroop_slova"," ~ 1 + Gender..0.F + Education",41,40,,,,,,,3.43497642640608e-05,"!",0.0196563650934738,"!",0
"attention","stroop_slova"," ~ 1 + Gender..0.F + Education + AGE",41,40,8.26405618302103,1,77,0.0052258146868141,":-)",6.90089911203729,1.71597017751946e-05,"!",0.987298419541785,,0
"attention","stroop_slova"," ~ 1 + Gender..0.F + Education + AGE * GROUP",41,40,2.34659874585653,2,75,0.102683442726782,,0.144242926925366,0.000427492326479731,"!",0.0735627994467031,,0
"attention","stroop_slova"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",41,40,1.12039523924151,4,71,0.353803443570165,,0.0018181380147259,0.0078472934933878,"!",0.0103147116711979,"!",0
"executive","tmt_b"," ~ 1 + Gender..0.F + Education",41,43,,,,,,,0.000956373250973346,"!",0.803342678182426,,0
"executive","tmt_b"," ~ 1 + Gender..0.F + Education + AGE",41,43,2.87243333452086,1,80,0.0939979875838274,,0.480070172930446,0.00155304066739098,"!",0.486976082158818,,0
"executive","tmt_b"," ~ 1 + Gender..0.F + Education + AGE * GROUP",41,43,5.68624845609112,2,78,0.0049515108494518,":-)",3.61668633692171,0.0653707346376829,,0.00927266869626241,"!",0
"executive","tmt_b"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",41,43,2.47012507940778,4,74,0.0518973591327536,,0.0273824127285591,0.193306580958829,,0.0238352664660651,"!",0
"executive","stroop_barvy"," ~ 1 + Gender..0.F + Education",41,40,,,,,,,0.553522143029326,,0.558748429186945,,0
"executive","stroop_barvy"," ~ 1 + Gender..0.F + Education + AGE",41,40,5.19887543433869,1,77,0.0253692398818147,,1.56657466364998,0.58800676151976,,0.448306589064993,,0
"executive","stroop_barvy"," ~ 1 + Gender..0.F + Education + AGE * GROUP",41,40,2.50196815489982,2,75,0.0887404339881604,,0.168866580425445,0.50880270120284,,0.545552440136222,,0
"executive","stroop_barvy"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",41,40,0.85937568652395,4,71,0.492679589785065,,0.00103427143544696,0.54441269658418,,0.764064892258756,,0
"speed","gpt_phk"," ~ 1 + Gender..0.F + Education",41,42,,,,,,,3.36524511698456e-06,"!",0.108759211029408,,0
"speed","gpt_phk"," ~ 1 + Gender..0.F + Education + AGE",41,42,2.44112607559108,1,79,0.12218860985943,,0.388108468260888,2.56481089663821e-07,"!",0.18472648224454,,0
"speed","gpt_phk"," ~ 1 + Gender..0.F + Education + AGE * GROUP",41,42,8.95555209567445,2,77,0.000318557195004659,":-)",70.8293720443986,3.10921732570712e-08,"!",0.000147087441949518,"!",0
"speed","gpt_phk"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",41,42,1.0557737319333,4,73,0.38464839587467,,0.00149780077955216,3.69879209488552e-08,"!",2.68830068298588e-05,"!",0
"speed","gpt_lhk"," ~ 1 + Gender..0.F + Education",41,42,,,,,,,0.000103091462896275,"!",0.705592619699787,,0
"speed","gpt_lhk"," ~ 1 + Gender..0.F + Education + AGE",41,42,12.1646317947024,1,79,0.000798900094784431,":-)",41.8534755543149,8.92859724123015e-05,"!",0.300453675714217,,0
"speed","gpt_lhk"," ~ 1 + Gender..0.F + Education + AGE * GROUP",41,42,12.6944225295182,2,77,1.71856561106058e-05,":-)",1648.32007334817,0.0622558639825037,,0.00132028984005311,"!",0
"speed","gpt_lhk"," ~ 1 + Gender..0.F + Education + AGE * GROUP * AHI_LH",41,42,0.753881494197361,4,73,0.558666782661373,,0.000778736933551935,0.014154892870016,"!",0.00403065112288331,"!",0
