y,X,term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,SUBJ,AHI.F,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.0310333504034912,0.316045105021899,-0.0981927892898099,0.921779208108256,0.11750686865065,-0.650470373736592,0.588403672929609,NA,H,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.110259732991449,0.298450721340135,-0.369440330036226,0.71179954176549,0.490457090801771,-0.695212397978112,0.474692931995215,NA,L,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.0792263825879578,0.434866275633425,-0.182185621252319,0.855437056734099,0.225266390118116,-0.93154862092054,0.773095855744624,NA,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fp,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.0792263825879578,0.434866270406627,0.182185623442067,0.855437055015689,0.225266393016215,-0.773095845500288,0.931548610676204,NA,NA,6.41132300580511e-09,!,0,4.64663611478142e-09,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.119537827793322,0.220205052360704,0.542847798049223,0.587234600332805,0.767991119455,-0.312056144047415,0.551131799634059,NA,NA,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.141297675515566,0.229423477825509,0.615881499377462,0.537972732754122,0.894395043513129,-0.308364078230355,0.590959429261488,NA,NA,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.256692876795215,0.326782141775135,0.785516844344115,0.432150598228088,1.21039393653757,-0.383788351874911,0.897174105465342,CON,NA,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),0.0312696929000871,0.310078664582251,0.100844387156449,0.919673990561489,0.12080555497089,-0.5764733220554,0.639012707855574,PD,NA,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.237616638405056,0.322955722802498,0.735756085518786,0.461879150739427,1.1144126705963,-0.39536494688894,0.870598223699052,NA,H,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),0.0121934545099275,0.300964362805176,0.0405146124154929,0.967682857583613,0.0473937899069383,-0.577685857218263,0.602072766238118,NA,L,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.225423183895128,0.441513429676868,-0.510569257338581,0.609652707257769,0.713940459096345,-1.09077360475255,0.639927236962291,NA,NA,0.829707754041856,,0,1.4185588696213e-06,!
avlt_r_fn,SUBJ * AHI.F + AGE + GENDER + EDU.Y,H - L,NA,0.225423183895128,0.441513433325042,0.510569253119807,0.609652710212515,0.713940452104172,-0.63992724411258,1.09077361190284,NA,NA,0.829707754041856,,0,1.4185588696213e-06,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.345557522435604,0.211007958543316,-1.63765160717702,0.10149439096446,3.30052809507649,-0.759125521631824,0.0680104767606155,NA,NA,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.328680669989025,0.21984136871646,-1.49508107554106,0.13489328416802,2.89010957120218,-0.759561834985277,0.102200495007228,NA,NA,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.167128492262457,0.313133746925644,-0.533728778527798,0.593529195375886,0.752609097896237,-0.7808593585808,0.446602374055886,CON,NA,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,AHI.F,mean(L) - mean(H),-0.482718792937613,0.29712790104557,-1.62461617114705,0.10424436926176,3.26195863598983,-1.06507877778891,0.0996411919136845,PD,NA,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.180248317320046,0.309467139854943,-0.582447355814689,0.560265391639299,0.835817716815825,-0.786792765834354,0.426296131194262,NA,H,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,SUBJ,mean(PD) - mean(CON),-0.495838617995202,0.28839427145688,-1.7193081384397,0.0855582788452879,3.54694872931879,-1.06108100339836,0.0694037674079505,NA,L,0.313933426662048,,0,0.0105311481283416,!
tmt_a,SUBJ * AHI.F + AGE + GENDER + EDU.Y,PD - CON,NA,-0.315590300675156,0.423073158835543,-0.745947347602433,0.455699221900087,1.13384618770529,-1.14479845481841,0.513617853468102,NA,NA,0.313933426662048,,0,0.0105311481283416,!
