Outcome,Parameter,Median,CI,CI_low,CI_high,pd,Rhat,ESS,prior_sensitivity,likelihood_sensitivity,powerscale_diagnosis
avlt_r_fp,b_pd1:osa1,-0.0210572617863215,0.95,-0.830519024041367,0.736808158641391,0.527,1.00066407544562,1448.5107748799,0.0548719487429946,0.113313751729769,prior-data conflict
avlt_r_fp,b_eventfollowup_4:pd1:osa1,0.0971485422173073,0.95,-0.798913589576939,0.934719460318749,0.58925,1.00072970259551,2436.75700419225,0.0333637930852916,0.462319864856173,-
avlt_r_fn,b_Intercept,-0.0367328652594133,0.95,-0.424958492359203,0.341325040859203,0.57925,1.00334697738239,2440.43223432078,0.0333937430929437,0.149272861974806,-
avlt_r_fn,b_eventfollowup_4,-0.237273088790597,0.95,-0.825516420453836,0.363832714263578,0.77775,0.99929816620314,2534.79197124983,0.0168078250183418,0.231238260369196,-
avlt_r_fn,b_pd1,0.0412825259558732,0.95,-0.48912489161766,0.556510469516893,0.562,1.00307533314898,1979.57955753525,0.0371683247126263,0.174618315470609,-
avlt_r_fn,b_osa1,-0.0161804779534126,0.95,-0.552608850910611,0.532028499764189,0.528,1.00307517807615,2162.32520890709,0.0474583852904626,0.0760846367283152,-
avlt_r_fn,b_eventfollowup_4:pd1,0.0632369084667112,0.95,-0.68013852870705,0.777862930394237,0.56525,1.00041962567953,2275.39565488665,0.0164171973431497,0.226587733192455,-
avlt_r_fn,b_eventfollowup_4:osa1,-0.131706746553785,0.95,-1.04268396526765,0.746439508821998,0.6115,0.999332953959468,2224.29287560887,0.0310220095952616,0.271113293568565,-
avlt_r_fn,b_pd1:osa1,0.100831518332442,0.95,-0.631546236977163,0.810953722854432,0.611,1.00363217150943,1902.45819568417,0.0548719487429946,0.113313751729769,prior-data conflict
avlt_r_fn,b_eventfollowup_4:pd1:osa1,-0.040408457474504,0.95,-1.13173116763655,1.00790943260628,0.5285,0.999749299003657,2166.75668652301,0.0333637930852916,0.462319864856173,-
tmt_a,b_Intercept,0.146631814177648,0.95,-0.29138254723342,0.593448340996008,0.748,1.00025002404862,1566.69739002062,0.0333937430929437,0.149272861974806,-
tmt_a,b_eventfollowup_4,0.338770633339437,0.95,-0.154125283026408,0.836228261219039,0.908,1.00214675572699,2399.63688036275,0.0168078250183418,0.231238260369196,-
tmt_a,b_pd1,-0.470992037976409,0.95,-1.04658921706007,0.127557222291471,0.94375,1.00340344333216,1300.62057272842,0.0371683247126263,0.174618315470609,-
tmt_a,b_osa1,0.0863313751478157,0.95,-0.507937783679678,0.716475013194467,0.622,1.00012457191739,1446.30269983169,0.0474583852904626,0.0760846367283152,-
tmt_a,b_eventfollowup_4:pd1,-0.719270755728043,0.95,-1.35433827057392,-0.113802496742887,0.99125,1.00164401900493,2556.60115900852,0.0164171973431497,0.226587733192455,-
tmt_a,b_eventfollowup_4:osa1,-0.0691925973635983,0.95,-0.819903850071844,0.682364028216232,0.5745,1.00246330949145,2392.21084162305,0.0310220095952616,0.271113293568565,-
tmt_a,b_pd1:osa1,0.220597640257513,0.95,-0.604759748604624,0.996169213207803,0.713,1.00185175615797,1457.96478320195,0.0548719487429946,0.113313751729769,prior-data conflict
tmt_a,b_eventfollowup_4:pd1:osa1,0.327175103457349,0.95,-0.548083214390514,1.23435534747361,0.75675,1.00244340073154,2452.9786087802,0.0333637930852916,0.462319864856173,-
stroop_body,b_Intercept,-0.18419462438068,0.95,-0.67688723925062,0.300835726973951,0.774,1.00644371041012,1335.98891362897,0.0333937430929437,0.149272861974806,-
stroop_body,b_eventfollowup_4,0.0410666448519459,0.95,-0.453550570972,0.490840782198929,0.56925,1.00000240902761,2645.72321367998,0.0168078250183418,0.231238260369196,-
stroop_body,b_pd1,0.0563708575875699,0.95,-0.61796314370233,0.719486061631273,0.566,1.00403161577688,1353.64929159639,0.0371683247126263,0.174618315470609,-
stroop_body,b_osa1,0.379694207386701,0.95,-0.270559680802465,1.06574673253277,0.86775,1.00394042831901,1556.84590449748,0.0474583852904626,0.0760846367283152,-
stroop_body,b_eventfollowup_4:pd1,-0.74905167117063,0.95,-1.3063678610776,-0.124973547302327,0.99,1.00038261104553,2923.95636889178,0.0164171973431497,0.226587733192455,-
stroop_body,b_eventfollowup_4:osa1,0.293341091245015,0.95,-0.438827468631734,1.09571610594901,0.78225,1.00108673277015,2363.18622871741,0.0310220095952616,0.271113293568565,-
stroop_body,b_pd1:osa1,-0.3503928508488,0.95,-1.27494432490614,0.542366999660547,0.775,1.00268413652193,1443.49866426749,0.0548719487429946,0.113313751729769,prior-data conflict
stroop_body,b_eventfollowup_4:pd1:osa1,0.501638682319635,0.95,-0.428905491459565,1.44747652837656,0.8615,1.00010877330109,2697.16049062582,0.0333637930852916,0.462319864856173,-
stroop_slova,b_Intercept,-0.238486029088681,0.95,-0.625271459694538,0.154318237012447,0.8865,1.00077964566342,2102.85733892467,0.0333937430929437,0.149272861974806,-
stroop_slova,b_eventfollowup_4,0.445484360498578,0.95,-0.0940685728499223,0.928512378968683,0.9465,1.00330646136638,1640.1022025426,0.0168078250183418,0.231238260369196,-
stroop_slova,b_pd1,0.415582280541409,0.95,-0.0929275462561447,0.949019823686918,0.9465,1.00171930172627,1902.75852421661,0.0371683247126263,0.174618315470609,-
stroop_slova,b_osa1,0.141616890477266,0.95,-0.421705476854354,0.683442709228837,0.693,1.00208929470833,1904.33767374592,0.0474583852904626,0.0760846367283152,-
stroop_slova,b_eventfollowup_4:pd1,-0.726857743637725,0.95,-1.31991953840678,-0.0643685536543668,0.9825,1.00314536165955,1894.4416771839,0.0164171973431497,0.226587733192455,-
stroop_slova,b_eventfollowup_4:osa1,0.328302002521221,0.95,-0.427896843541666,1.11791415495585,0.7905,1.00069977475815,2758.39735612981,0.0310220095952616,0.271113293568565,-
stroop_slova,b_pd1:osa1,-0.276649308666613,0.95,-0.984103628642069,0.468480791071327,0.77275,1.00213081208171,1869.90709559737,0.0548719487429946,0.113313751729769,prior-data conflict
stroop_slova,b_eventfollowup_4:pd1:osa1,0.105545111444785,0.95,-0.802857264430852,1.10859181938007,0.59075,1.0001050199626,2381.04769984852,0.0333637930852916,0.462319864856173,-
tmt_b,b_Intercept,0.313279084161475,0.95,-0.0978065837363503,0.75594618244546,0.93075,1.00129115922466,1334.30325106213,0.0333937430929437,0.149272861974806,-
tmt_b,b_eventfollowup_4,-0.073030512706744,0.95,-0.566053490549778,0.438682550160489,0.6075,1.0006951954051,2168.07927708458,0.0168078250183418,0.231238260369196,-
tmt_b,b_pd1,-0.654885633219841,0.95,-1.20601615703584,-0.106995605043681,0.991,1.00271609151267,1361.57390840625,0.0371683247126263,0.174618315470609,-
tmt_b,b_osa1,-0.00784269657995759,0.95,-0.590471762229743,0.558960042194045,0.508,1.00156039170504,1279.75869821967,0.0474583852904626,0.0760846367283152,-
tmt_b,b_eventfollowup_4:pd1,-0.191218707069388,0.95,-0.836808130299339,0.444383530694304,0.727,1.00095353058919,2137.92155665997,0.0164171973431497,0.226587733192455,-
